popularity,budget,revenue,director,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
2.395366,50100000,153962963,Glenn Ficarra|John Requa,105,Romance|Comedy|Crime|Drama,2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582
2.354654,35000000,82347656,Aleksander Bach,96,Action|Crime|Thriller,2015-08-20,820,5.5,2015,32199985.8320062,75759810.1856835
2.345821,100000000,93820758,Ron Howard,122,Thriller|Drama|Adventure|Action|History,2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738
2.331636,20000000,0,James McTeigue,96,Crime|Thriller|Action,2015-05-21,280,5.4,2015,18399991.9040035,0.0
2.331567,35000000,137935567,Ryan Coogler,133,Drama,2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707
2.31767,35000000,140795793,Judd Apatow,125,Comedy,2015-07-17,849,6.1,2015,32199985.8320062,129532072.565888
2.29573,13000000,32848185,Gavin Hood,102,Drama|Thriller|War,2015-09-11,265,7.2,2015,11959994.7376023,30220316.9030605
2.28135,25000000,42972994,Brian Helgeland,131,Crime|Thriller,2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396
2.272044,0,45895,Jean-Baptiste LÃ©onetti,95,Thriller,2015-04-17,81,5.5,2015,0.0,42223.3814217121
2.234573,150000000,128388320,Joe Wright,111,Adventure|Family|Fantasy,2015-09-24,586,5.9,2015,137999939.280026,118117202.42843
2.165433,0,0,Anne K. Black,108,Action|Adventure|Fantasy,2015-06-24,27,5.1,2015,0.0,0.0
2.141506,0,0,Alfonso Gomez-Rejon,105,Comedy|Drama,2015-06-12,569,7.7,2015,0.0,0.0
2.140199,99000000,246233113,Steve Martino,88,Adventure|Animation|Comedy|Family,2015-11-05,414,6.4,2015,91079959.9248176,226534364.284879
2.121884,35000000,48623572,Peter Landesman,123,Drama,2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867
2.096273,25000000,52395996,Jonathan Levine,100,Comedy,2015-11-20,363,6.1,2015,22999989.8800044,48204295.1101101
2.080935,2500000,5214043,Eli Roth,99,Drama|Horror|Thriller,2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632
2.070708,34000000,63013281,"George Tillman, Jr.",128,Romance|Drama,2015-04-09,711,7.3,2015,31279986.236806,57972193.012235
2.060162,80000000,466183544,Genndy Tartakovsky,89,Animation|Comedy|Family,2015-09-21,919,6.8,2015,73599967.6160142,428888671.768984
2.055572,17000000,24000000,Jessie Nelson,107,Family|Comedy,2015-11-12,111,5.3,2015,15639993.118403,22079990.2848042
2.049886,35000000,61181942,Robert Zemeckis,123,Adventure|Drama|Thriller,2015-09-30,706,6.8,2015,32199985.8320062,56287361.8735607
2.026651,11000000,1863315,Daniel Benmayor,94,Action|Crime|Drama,2015-01-15,326,5.9,2015,10119995.5472019,1714249.04573042
2.000338,31000000,104384188,John Francis Daley|Jonathan M. Goldstein,99,Adventure|Comedy,2015-07-28,846,6.1,2015,28519987.4512055,96033410.7052992
1.984529,35000000,95437994,Gil Kenan,93,Horror|Thriller,2015-05-20,589,5.0,2015,32199985.8320062,87802915.846717
1.980039,4000000,187112,Henry Hobson,95,Horror,2015-05-08,384,5.1,2015,3679998.38080071,172142.964257095
1.959765,0,2000000,Drake Doremus,101,Drama|Romance|Science Fiction,2015-09-04,135,5.6,2015,0.0,1839999.19040035
1.95632,50000000,3324330,Daniel Espinosa,137,Crime|Thriller,2015-03-15,341,5.9,2015,45999979.7600089,3058382.2543118
1.926739,5000000,58978653,Joel Edgerton,108,Thriller|Mystery,2015-07-30,631,6.6,2015,4599997.97600089,54260336.8854517
1.904898,50000000,240360392,Sean Anders,96,Comedy,2015-12-25,568,5.7,2015,45999979.7600089,221131463.342156
1.876037,0,0,A. Todd Smith,0,Fantasy|Action|Adventure,2015-12-19,11,5.4,2015,0.0,0.0
1.872696,10000000,0,Brian A Miller,96,Thriller|Science Fiction|Action|Adventure,2015-01-16,181,4.1,2015,9199995.95200178,0.0
1.865007,64000000,97571250,Mark Osborne,92,Adventure|Animation|Fantasy,2015-07-29,423,7.5,2015,58879974.0928114,89765510.5031753
1.841779,0,233755553,Walt Becker,92,Adventure|Animation|Comedy|Family,2015-12-17,278,5.7,2015,0.0,215055014.135793
1.82313,11930000,18340000,Jocelyn Moorhouse,118,Drama,2015-10-01,197,6.9,2015,10975595.1707381,16872792.5759712
1.758618,8500000,43528634,Ari Sandel,100,Romance|Comedy,2015-02-20,753,6.8,2015,7819996.55920151,40046325.6596167
1.742286,10000000,52882018,Ciaran Foy,97,Horror,2015-08-19,331,5.5,2015,9199995.95200178,48651435.1533685
1.73518,30000000,107597242,Andy Fickman,94,Action|Adventure|Comedy|Family,2015-04-16,422,5.3,2015,27599987.8560053,98989419.0846556
1.72471199999999,0,0,Chris Buck|Jennifer Lee,8,Adventure|Animation|Family,2015-03-09,475,7.0,2015,0.0,0.0
1.661789,0,0,Ben Wheatley,119,Action|Drama|Science Fiction,2015-09-26,161,5.4,2015,0.0,0.0
1.65107799999999,4000000,50163103,Rob Cohen,91,Thriller,2015-01-23,810,3.9,2015,3679998.38080071,46150034.4539848
1.646664,0,0,Bharat Nalluri,104,Thriller|Action,2015-04-11,114,5.6,2015,0.0,0.0
1.532997,30000000,49263404,Doug Ellin,104,Comedy,2015-06-03,364,6.2,2015,27599987.8560053,45322311.7381828
1.510096,23000000,79799880,Jeremy Garelick,101,Comedy,2015-01-16,446,6.5,2015,21159990.689604,73415857.2970227
1.499614,15000000,14860766,Christopher B. Landon,93,Comedy|Horror,2015-10-23,288,6.2,2015,13799993.9280026,13671898.7043645
1.495112,5000000,98450062,M. Night Shyamalan,94,Horror|Thriller,2015-09-10,729,5.9,2015,4599997.97600089,90574017.1874324
1.48324599999999,53000000,99775678,Scott Cooper,122,Crime|Drama,2015-09-04,848,6.3,2015,48759978.5456094,91793583.3708233
1.449072,8900000,50136,Scott Mann,93,Crime|Action|Thriller,2015-11-13,233,5.4,2015,8187996.39728158,46125.0997049561
1.448002,15000000,61548707,Michael Dougherty,98,Horror|Comedy|Fantasy,2015-11-26,342,5.9,2015,13799993.9280026,56624785.5250943
1.443406,20000000,208588,Gilles Paquet-Brenner,113,Drama|Mystery|Thriller,2015-03-31,322,5.7,2015,18399991.9040035,191900.875563614
1.41239,5000000,54418872,John Erick Dowdle,103,Action|Thriller,2015-08-26,519,6.7,2015,4599997.97600089,50065340.2112503
1.40805,700000,17986781,Rick Famuyiwa,103,Crime|Drama|Comedy,2015-06-19,448,7.3,2015,643999.716640124,16547831.2389542
1.388251,28000000,28208085,Nima Nourizadeh,96,Comedy|Action,2015-08-19,695,5.9,2015,25759988.6656049,25951426.7813722
1.388032,11000000,61619773,Simon Curtis,120,Drama,2015-04-10,277,7.3,2015,10119995.5472019,56690166.2163268
1.38032,0,0,Mike Elliott,105,Action|Fantasy|Adventure,2015-01-09,22,4.5,2015,0.0,0.0
1.376605,30000000,105011053,Jason Moore,118,Comedy,2015-12-18,399,5.9,2015,27599987.8560053,96610126.2515444
1.360926,12000000,32248241,Dean Israelite,106,Science Fiction|Thriller,2015-01-30,637,6.3,2015,11039995.1424021,29668368.6659177
1.360827,0,5189646,Terry Jones,85,Comedy|Science Fiction,2015-06-26,199,5.8,2015,0.0,4774472.21923222
1.355822,25000000,72629670,Camille Delamarre,96,Thriller|Action|Crime,2015-09-03,407,5.3,2015,22999989.8800044,66819266.9995225
1.345982,55000000,74679822,Guillermo del Toro,119,Mystery|Thriller|Fantasy|Horror|Drama,2015-10-13,819,6.4,2015,50599977.7360098,68705406.0096213
1.342839,0,0,Joe Lynch,90,Thriller|Action,2015-01-23,169,5.1,2015,0.0,0.0
1.338481,14800000,122413057,Gregory Jacobs,115,Comedy|Drama|Music,2015-07-01,501,6.3,2015,13615994.0089626,112619962.887216
1.338322,10000000,78099553,Gregory Plotkin,88,Horror|Thriller,2015-10-21,267,5.0,2015,9199995.95200178,71851557.1453148
1.329702,0,229094,John Maclean,84,Romance|Thriller|Western,2015-04-16,229,6.6,2015,0.0,210766.387262789
1.316239,15000000,8235661,Jay Roach,124,Drama,2015-10-27,273,7.2,2015,13799993.9280026,7576804.78620589
1.315266,19500000,32189727,Billy Ray,111,Crime|Drama|Mystery,2015-10-14,202,6.2,2015,17939992.1064034,29614535.8096042
1.29314,0,2500431,Noah Baumbach,84,Comedy,2015-08-14,132,6.4,2015,0.0,2300395.50782597
1.291013,74000000,311594032,Paul Tibbitt,93,Family|Animation,2015-02-05,533,5.7,2015,68079970.0448131,286666383.306791
1.284541,0,4719695,Rupert Goold,100,Crime|Drama|Mystery,2015-04-17,354,6.0,2015,0.0,4342117.4894683
1.278928,20000000,43967255,Boaz Yakin,111,Adventure|Drama|Family,2015-06-26,214,7.0,2015,18399991.9040035,40449856.802063
1.25358,0,59700000,Mark Burton|Richard Starzack,85,Family|Animation|Comedy|Adventure,2015-02-05,340,6.9,2015,0.0,54923975.8334506
1.251681,11000000,0,Joachim Trier,109,Drama,2015-05-18,43,6.3,2015,10119995.5472019,0.0
1.245224,0,1702433,Fernando LeÃ³n de Aranoa,106,Comedy|Drama,2015-08-28,102,6.3,2015,0.0,1566237.67085542
1.225325,40000000,10664749,Pierre Morel,115,Action|Drama|Crime,2015-02-16,283,5.6,2015,36799983.8080071,9811564.7629115
1.191138,1000000,62882090,Levan Gabriadze,82,Horror|Thriller,2015-04-17,643,5.6,2015,919999.595200178,57851497.3453411
1.178831,35000000,51680201,Anne Fletcher,87,Action|Crime|Comedy,2015-05-08,472,5.5,2015,32199985.8320062,47545763.9998638
1.164724,10000000,104303851,Leigh Whannell,97,Drama|Horror|Thriller,2015-06-04,610,6.3,2015,9199995.95200178,95959500.6978197
1.161812,0,118483,Craig Zobel,97,Drama|Science Fiction|Thriller,2015-08-13,181,5.5,2015,0.0,109004.312038102
1.144808,0,0,Colin Teague,97,Action|Adventure|Fantasy,2015-02-24,59,4.5,2015,0.0,0.0
1.142518,6000000,41387687,Nicholas Hytner,104,Comedy|Drama,2015-11-13,135,5.9,2015,5519997.57120106,38076655.2862716
1.138395,40000000,34227298,Paul McGuigan,109,Drama|Science Fiction|Thriller,2015-11-10,408,5.5,2015,36799983.8080071,31489100.3047958
1.128081,0,0,Gerado Olivares|Otmar Penker,98,Adventure|Drama|Family,2015-12-24,11,7.5,2015,0.0,0.0
1.125239,8000000,3759286,Duke Johnson|Charlie Kaufman,90,Animation|Comedy|Drama|Romance,2015-12-30,259,6.7,2015,7359996.76160142,3458541.59824169
1.073349,1800000,0,S. Craig Zahler,132,Horror|Western|Adventure|Drama,2015-10-23,220,6.3,2015,1655999.27136032,0.0
1.065888,0,17671101,Alejandro AmenÃ¡bar,106,Horror|Mystery|Thriller,2015-10-01,310,5.2,2015,0.0,16257405.7667414
1.063055,0,0,Edward Zwick,114,Drama,2015-09-16,148,6.6,2015,0.0,0.0
1.046518,0,11472454,Matt Brown,108,Drama,2015-09-17,104,7.1,2015,0.0,10554653.0359526
1.041922,20000000,0,Stephen S. Campanelli,96,Thriller|Action,2015-08-01,100,5.8,2015,18399991.9040035,0.0
1.03839,2000000,1477002,Marielle Heller,102,Drama|Romance,2015-08-07,186,6.8,2015,1839999.19040035,1358841.24210985
1.036825,0,0,Uli Edel,94,Horror|Thriller,2015-09-16,114,5.3,2015,0.0,0.0
1.02762,0,0,Marjane Satrapi,101,Horror|Thriller|Comedy|Crime,2015-02-06,371,6.0,2015,0.0,0.0
1.021441,0,3643591,Kazuaki Kiriya,115,Action|Adventure,2015-04-03,237,6.3,2015,0.0,3352102.24507501
1.008474,12000000,0,Matteo Garrone,125,Romance|Fantasy|Horror,2015-05-14,211,5.7,2015,11039995.1424021,0.0
1.007054,11000000,27391084,Woody Allen,95,Mystery|Drama,2015-07-17,319,6.1,2015,10119995.5472019,25199786.192094
0.973316,15000000,0,Werner Herzog,128,Drama|History,2015-09-03,30,6.0,2015,13799993.9280026,0.0
0.956096,18000000,41325328,Jonathan Demme,100,Comedy|Drama|Music,2015-07-10,152,5.5,2015,16559992.7136032,38019285.0315145
0.953647,0,0,Catherine Hardwicke,112,Comedy|Drama|Romance,2015-09-12,139,7.2,2015,0.0,0.0
0.953046,630019,0,David Sandberg,31,Action|Comedy|Science Fiction|Fantasy,2015-05-28,487,7.7,2015,579617.224968421,0.0
0.950793,12000000,60273173,David M. Rosenthal,100,Drama|Thriller,2015-09-11,122,5.6,2015,11039995.1424021,55451294.7614303
0.938432,0,1936524,Luca Guadagnino,120,Crime|Drama|Mystery|Thriller,2015-11-26,69,5.8,2015,0.0,1781601.29609542
0.93762,10000000,7587485,Noah Baumbach,97,Drama|Comedy,2015-03-27,265,5.9,2015,9199995.95200178,6980483.12858742
0.927339,40000000,106511453,Etan Cohen,100,Comedy,2015-03-26,661,5.9,2015,36799983.8080071,97990493.6441828
0.91704,0,0,Daniel Alfredson,95,Drama|Action|Crime|Thriller,2015-03-12,131,5.8,2015,0.0,0.0
0.913085,60000000,0,Frank Coraci,119,Comedy|Western,2015-12-11,252,4.8,2015,55199975.7120106,0.0
0.90686,0,0,Kriv Stenders,90,Comedy|Thriller,2015-04-10,96,5.1,2015,0.0,0.0
0.906036,25000000,24902723,Patricia Riggen,120,History|Drama,2015-08-06,262,5.8,2015,22999989.8800044,22910495.0793821
0.898295999999999,14000000,16002420,Sarah Gavron,106,Drama|History,2015-10-16,231,7.1,2015,12879994.3328024,14722219.9222232
0.894477,0,0,Andrew Haigh,95,Drama,2015-08-28,167,6.0,2015,0.0,0.0
0.880937999999999,6000000,11122090,Max Joseph,96,Drama|Music|Romance,2015-08-26,412,6.2,2015,5519997.57120106,10232318.2977799
0.880268,0,6075,Kyle Newman,96,Adventure|Action|Comedy,2015-04-30,215,5.5,2015,0.0,5588.99754084108
0.874641,0,13192457,Justin Kurzel,113,History|Drama|War,2015-08-16,269,6.4,2015,0.0,12137055.0996957
0.872149,0,16775,Steven C. Miller,83,Action|Thriller,2015-12-18,57,4.2,2015,0.0,15432.9932094829
0.861179,0,0,Mary Agnes Donoghue,94,Comedy|Drama,2015-07-31,92,5.2,2015,0.0,0.0
0.848748,0,0,Kenny Ortega,112,Music|Action|Adventure|Comedy|Family,2015-07-31,262,6.7,2015,0.0,0.0
0.843174,0,0,Sean Mewshaw,105,Music|Romance|Comedy,2015-04-18,22,6.6,2015,0.0,0.0
0.842202,0,30229977,Thomas Vinterberg,119,Romance|Drama,2015-05-01,220,6.9,2015,0.0,27811566.6029106
0.836940999999999,0,3002884,James Ponsoldt,106,Drama,2015-07-31,126,7.3,2015,0.0,2762652.06443309
0.832487,10000000,85978266,John Madden,122,Drama|Comedy,2015-02-26,196,6.4,2015,9199995.95200178,79099969.9160132
0.829111,20000000,6420319,Alejandro Monteverde,106,Comedy|Drama|War,2015-04-23,113,7.1,2015,18399991.9040035,5906690.88105601
0.821443,0,0,Brandon Vietti,48,Action|Adventure|Animation|Family,2015-02-10,14,6.4,2015,0.0,0.0
0.820691,0,1986615,Atom Egoyan,94,Drama|Thriller,2015-10-23,75,7.7,2015,0.0,1827684.9958186
0.814206,37000000,26250020,Cameron Crowe,105,Adventure|Comedy|Romance,2015-05-27,469,5.2,2015,34039985.0224065,24150007.7739965
0.813893,26000000,0,David O. Russell|Stephen Greene,100,Romance|Comedy,2015-02-10,64,3.6,2015,23919989.4752046,0.0
0.810667,0,0,Ian Kirby,67,Action|Animation|Science Fiction,2015-10-27,32,5.3,2015,0.0,0.0
0.795762,28000000,7002261,David Gordon Green,108,Drama|Comedy,2015-09-11,122,5.7,2015,25759988.6656049,6442077.28548599
0.792471,0,0,Patricia Rozema,101,Drama|Science Fiction,2015-06-03,57,5.1,2015,0.0,0.0
0.787968999999999,0,231737,Karyn Kusama,100,Thriller,2015-03-13,192,6.4,2015,0.0,213197.946192903
0.781809,0,0,Andrew Renzi,90,Drama,2015-04-17,55,4.5,2015,0.0,0.0
0.773909,0,0,David Feiss,85,Animation|Comedy|Family|Adventure,2015-12-31,33,5.6,2015,0.0,0.0
0.77107,0,134552,Jon Watts,86,Thriller,2015-08-07,174,5.5,2015,0.0,123787.785533374
0.768138,0,0,William Monahan,93,Thriller,2015-04-18,17,4.3,2015,0.0,0.0
0.758133,0,3214116,Leslye Headland,100,Comedy,2015-06-26,197,6.2,2015,0.0,2956985.41892641
0.747541,11000000,0,Jon Cassar,90,Western|Drama,2015-09-16,53,5.6,2015,10119995.5472019,0.0
0.738404,0,8413144,Asif Kapadia,128,Documentary|Music,2015-07-03,345,7.5,2015,0.0,7740089.0743608
0.7299,0,0,Sophie Barthes,118,Drama,2015-06-04,52,5.3,2015,0.0,0.0
0.719407,0,0,Corin Hardy,97,Fantasy|Horror,2015-11-06,122,4.9,2015,0.0,0.0
0.714131,0,0,Zeke Norton,74,Family|Animation,2015-01-29,13,5.5,2015,0.0,0.0
0.707355,0,0,Paul Hyett,89,Horror,2015-10-01,62,4.9,2015,0.0,0.0
0.706023,7000000,573335,Peter Sollett,103,Romance|Drama,2015-10-02,86,7.1,2015,6439997.16640124,527467.967914094
0.701369999999999,0,0,Ben Palmer,88,Romance|Comedy,2015-05-29,264,6.5,2015,0.0,0.0
0.699932,3000000,695269,Gaspar NoÃ©,134,Drama|Romance,2015-07-06,307,4.7,2015,2759998.78560053,639647.198555232
0.69957,9600000,2541554,James Vanderbilt,121,Drama,2015-09-12,89,6.4,2015,8831996.11392171,2338228.65117939
0.696184,0,0,Fouad Mikati,95,Thriller,2015-05-31,88,5.0,2015,0.0,0.0
0.690479,10000000,10835752,Dan Fogelman,107,Comedy|Drama|Music,2015-03-20,114,6.6,2015,9199995.95200178,9968887.45368952
0.689578999999999,15000000,3020664,Barry Levinson,100,Comedy|Music|War,2015-10-22,56,5.1,2015,13799993.9280026,2779009.65723575
0.689571,2240000,0,Gabriele Muccino,116,Drama,2015-10-01,142,7.0,2015,2060799.09324839,0.0
0.673792,1000000,14444999,Michael Showalter,95,Comedy|Drama|Romance,2015-11-27,87,6.6,2015,919999.595200178,13289393.2326669
0.669351,13000000,1784763,Mark Neveldine,91,Thriller|Horror,2015-07-24,164,4.5,2015,11959994.7376023,1641981.23752825
0.661471,8000000,1411927,Ramin Bahrani,112,Drama,2015-09-25,121,6.8,2015,7359996.76160142,1298972.2684522
0.661163,14000000,12314651,Steve Pink,93,Comedy,2015-02-20,244,5.0,2015,12879994.3328024,11329473.9350314
0.654335,0,0,Terrence Malick,118,Romance|Drama,2015-09-10,101,5.7,2015,0.0,0.0
0.654046,4000000,143101,David Gordon Green,97,Drama,2015-06-03,35,5.0,2015,3679998.38080071,131652.86207274
0.649628,0,0,Ryan Fleck|Anna Boden,108,Drama,2015-07-04,74,5.7,2015,0.0,0.0
0.644786,0,0,Matt Osterman,91,Mystery|Science Fiction|Thriller,2015-10-29,98,4.2,2015,0.0,0.0
